no,name,website,category,booth,attributes,intro,exhibited_products,product_count,product_nos,product_names,image_url,company_url,archived_at
17,"ANHUI DONGBAO FOOD CO.,LTD.",,FOODEX Frozen Processed Food,E5-J27,Japan exhibitors | Exportable,"We deal in frozen vegetables from China. We have lovely looking frozen vegetables that are carefully hand-crafted one by one by artisans. We have a variety of seasonal frozen vegetables that are perfect for Japanese cuisine and other dishes. Because they are sold frozen, they can be stored for a long time and can be easily incorporated into dishes. Please come and see our products.","Frosen Nanohana,Frozen Peapods,Frozen Sweet Pea,Frozen Greenbeans,Frozen Broadbean,Frozen Lemon,Frozen Pumpkin,Frozen Soybeankernel,Frozen Tomato,Frozen Okra,Frozen FriedEggplant,Frozen White Gourd,Frozen Chestnuts,Frozen Yam,Frozen SweetPotato,Frozen Chrysanthemum,Frozen MixBerry,Frozen Strawberry,Frozen Lotus,Frozen Lily,Frozen Carrot,Frozen Shiitake",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_17.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=17,20250308025846
18,AAKK Organik Pte Ltd,,Processed Food,E3-BB03,Overseas exhibitors | Exportable,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=18,20250306105832
21,Tamy Foods Corporation,https://tamy.co.jp/,Condiments / Seasoning,E1-M07,Japan exhibitors | Exportable,"Introducing our new sauces for enjoying chicken: the 'Sauce to Deliciously Enjoy Chicken' and the 'Spicy Sauce to Deliciously Enjoy Chicken.' Developed by the original teriyaki sauce manufacturer, this sauce is made by combining the aroma of roasted soy sauce and raw soy sauce using a special manufacturing method. Additionally, we offer a rich, versatile Japanese-style sauce for commercial use that enhances the flavor of any dish it is paired with. | | Introducing our frozen curry: Unlike widely available retort-packaged curry, this frozen curry lets you enjoy the freshly made taste. | | Introducing our Setouchi Lemon Syrup: Made with carefully sourced, region-specific ingredients from Japan. In addition to lemons, we can provide proposals using other region-specific ingredients. | | Our company has been producing teriyaki sauce for over 50 years, even before it became widely recognized. With our extensive experience and proven track record supporting the food service industry through OEM production, we offer development and manufacturing solutions. For consumer use, we provide spout pouch filling, while for commercial use, pillow packaging is also available.","Sauce to deliciously enjoy chicken - The Secret Teriyaki Flavor, Spicy sauce to deliciously enjoy chicken - The Secret Teriyaki Flavor, Teriyaki curry, Setouchi lemon syrup, Rich Japanese-style all-purpose sauce",5,1161 | 910 | 1141 | 911 | 1146,Rich Japanese style all purpose sauce | Sauce to deliciously enjoy chicken - The Secret Teriyaki Flavor | Setouchi Whole Lemon Syrup | Spicy sauce to deliciously enjoy chicken - The Secret Teriyaki Flavor | Teriyaki Curry,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_21.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=21,20250310165414
29,Kagoshima Prefecture,,Exports from Japan,S1-C04,Japan exhibitors | Exportable,"This booth is a joint exhibition by eight businesses in Kagoshima Prefecture. | Located in the south of Japan, Kagoshima Prefecture offers a selection of the finest products nurtured by the rich nature of the prefecture. | Please stop by this booth and experience a wide variety of products.",Foods produced in Kagoshima,0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_29.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=29,20250321003956
36,ETO,http://www.eto-inc.co.jp,FOODEX TECH,E7-Z07,Japan exhibitors | Exportable,"We are a sales company of bottles, jars and PET bottles. | We have 90 years of history and achievements. | All products are made in Japan.","glass jars, glass bottles, plastic containers, caps, PET bottles, cans, film, trays, paper cups, cardboard",1,3833,ETO’S ORIGINAL BOTTLE/JAR,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_36.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=36,20250313004928
41,Seawings,https://www.seawings-group.com/page1,Beverage,S1-T19,Japan exhibitors | Exportable,New product: Whiskey plum wine blended with domestic whisky. | You can sample whiskey and plum wine at the booth.,"Whiskey, plum wine, wine",5,3201 | 3197 | 3194 | 3198 | 3200,FRANCEWINE | KAICHI UMESYU | KAICHI JAPAN MADE BLENDED MALT WHISKY | SORACHI JAPAN MADE BLENDED WHISKY | SORACHI UMESYU,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_41.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=41,20250308091604
45,maruesu,http://www.maruesu-web.co.jp,Sweets & Snacks,E3-Q21,Japan exhibitors | Exportable,おつまみ各種、素材菓子、レトルト商品,おつまみ各種、素材菓子、レトルト商品,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=45,20250313020025
48,JS FOOD,http://jsfood.jp/,FOODEX Frozen Processed Food,E6-J07,Japan exhibitors | Exportable,"In collaboration with our veteran sushi chef, our company has developed new frozen sushi rice, or “frozen shari”, that can be eaten deliciously by simply thawing it naturally at room temperature. We choose rice that goes perfectly with sushi. In addition to rice vinegar, we also use red vinegar, black vinegar, and wine vinegar to make various kinds of “shari rice”. | We can also provide shari rice according to customer requests! Please feel free to contact us for more information about frozen shari rice. | We also make frozen nigiri sushi using carefully selected toppings. | Please try them at our booth!","Frozen Shari Rice(Sushi Rice), Frozen Nigiri Sushi",2,7883 | 6604,Frozen Nigiri Sushi | Frozen Sharidama (Sushi Rice),https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_48.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=48,20250306213552
58,DAISHO GLASS,https://www.daisho-g.co.jp/,FOODEX TECH,E7-Q01,Japan exhibitors | Exportable,オリジナル規格瓶を多数展示します。,白いガラス「砡 -ぎょく-」、ガラス容器,0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_58.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=58,20250321020346
65,"Marutou bussanhanbai co., ltd",https://marutou-b.com/,Sweets & Snacks,E3-G24,Japan exhibitors | Exportable,We can provide OEM services for langue de chat cookies and gaufrettes. https://nikko-fs.com/,"Chocolate sand cookies, cream sand cookies",1,3990,Matcha langue de chat 10pcs https://nikko-fs.com/catalog/,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=65,20250307222228
