no,name,has_detail,company_no,company,company_website,company_category,booth,attributes,categories,target_sector,specialities,certifications,exhibited_products,image_url,product_url
21,Mirocl Karte,yes,397,Mirocrea,https://miroclkarte.mirocl.net/,,E7-DD14,Japan exhibitors | Exportable,Professional Services,"Who can benefit from Mirocl Karte | Mirocl Karte is ideal for companies in manufacturing—such as automotive, chemicals, food, industrial machinery, metal processing, precision equipment, and packaging materials—that face challenges in equipment maintenance. It’s also suitable for businesses seeking more efficient facility management, including transportation (vehicle fleets), hospitals, leisure facilities, and service industries. | | Recommended for sites like these: | ・Struggling with the limitations of paper- or Excel-based record handovers | ・Looking to streamline maintenance operations and boost overall factory productivity | ・Finding large-scale maintenance systems too complex or oversized for their needs | ・Aiming to promote skill transfer from experienced technicians","Ready to use—right away! | As long as you have a device connected to the internet, you can start using Mirocl Karte immediately. With intuitive input from smartphones or tablets, maintenance tasks like daily inspections, repairs, and part replacements are naturally recorded and utilized, helping build a culture of smart maintenance. | | Easy to implement! | As a cloud-based service, no server installation is required. This keeps both initial and ongoing maintenance costs low. | | Accessible anytime, anywhere! | Built on the cloud, Mirocl Karte enables not just information sharing within a single factory, but also seamless use across multiple sites. Designed specifically for maintenance work, the interface is optimized for field usability and on-site efficiency.",,"Mirocle Karte transforms maintenance operations from the ground up. | It eliminates paper-based and Excel-based management by centralizing plans, inspections, and repair histories in the cloud. | | The optional AI Maintenance Navigator analyzes extensive historical data to help identify root causes of failures and automatically propose optimal corrective actions. This standardizes decision-making that previously relied on individual expertise, enabling anyone to perform maintenance at a high level while reducing dependency on specific personnel and improving productivity. | | The newly released Mirocle AI Help Chat instantly searches across all help documents and provides the best operation methods, relevant pages, and even practical use cases and best practices that are not written in the manuals.",,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=21
33,Cardamom,no,518,FEDECOVERA - GUATEMALA,https://www.fedecovera.com/index.php?lang=en,Condiments / Seasoning,E1-BB12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=33
34,Coffee,no,518,FEDECOVERA - GUATEMALA,https://www.fedecovera.com/index.php?lang=en,Condiments / Seasoning,E1-BB12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=34
35,Allspice,no,518,FEDECOVERA - GUATEMALA,https://www.fedecovera.com/index.php?lang=en,Condiments / Seasoning,E1-BB12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=35
36,Cocoa Beans,no,518,FEDECOVERA - GUATEMALA,https://www.fedecovera.com/index.php?lang=en,Condiments / Seasoning,E1-BB12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=36
37,Cardamom Essential Oil,no,518,FEDECOVERA - GUATEMALA,https://www.fedecovera.com/index.php?lang=en,Condiments / Seasoning,E1-BB12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=37
44,VIDA ZERO SALTY LYCHEE SPARKLING DRINK,no,604,THE VIDA WORLD SDN BHD,https://vidaworld.com.my/,Beverage,S2-A01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=44
47,VIDA ZERO YUZU SPARKLING DRINK,no,604,THE VIDA WORLD SDN BHD,https://vidaworld.com.my/,Beverage,S2-A01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=47
48,VIDA ZERO GREEN APPLE SPARKLING DRINK,no,604,THE VIDA WORLD SDN BHD,https://vidaworld.com.my/,Beverage,S2-A01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=48
49,VIDA ZERO ORIGINAL CITRUS SPARKLING DRINK,no,604,THE VIDA WORLD SDN BHD,https://vidaworld.com.my/,Beverage,S2-A01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=49
