no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
21,Mirocl Karte,Professional Services,"Who can benefit from Mirocl Karte | Mirocl Karte is ideal for companies in manufacturing—such as automotive, chemicals, food, industrial machinery, metal processing, precision equipment, and packaging materials—that face challenges in equipment maintenance. It’s also suitable for businesses seeking more efficient facility management, including transportation (vehicle fleets), hospitals, leisure facilities, and service industries. | | Recommended for sites like these: | ・Struggling with the limitations of paper- or Excel-based record handovers | ・Looking to streamline maintenance operations and boost overall factory productivity | ・Finding large-scale maintenance systems too complex or oversized for their needs | ・Aiming to promote skill transfer from experienced technicians","Ready to use—right away! | As long as you have a device connected to the internet, you can start using Mirocl Karte immediately. With intuitive input from smartphones or tablets, maintenance tasks like daily inspections, repairs, and part replacements are naturally recorded and utilized, helping build a culture of smart maintenance. | | Easy to implement! | As a cloud-based service, no server installation is required. This keeps both initial and ongoing maintenance costs low. | | Accessible anytime, anywhere! | Built on the cloud, Mirocl Karte enables not just information sharing within a single factory, but also seamless use across multiple sites. Designed specifically for maintenance work, the interface is optimized for field usability and on-site efficiency.",,,Mirocrea,https://miroclkarte.mirocl.net/,Japan exhibitors | Exportable,Start up,E7-DD14,"Mirocle Karte transforms maintenance operations from the ground up. | It eliminates paper-based and Excel-based management by centralizing plans, inspections, and repair histories in the cloud. | | The optional AI Maintenance Navigator analyzes extensive historical data to help identify root causes of failures and automatically propose optimal corrective actions. This standardizes decision-making that previously relied on individual expertise, enabling anyone to perform maintenance at a high level while reducing dependency on specific personnel and improving productivity. | | The newly released Mirocle AI Help Chat instantly searches across all help documents and provides the best operation methods, relevant pages, and even practical use cases and best practices that are not written in the manuals.",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=21
54,Ladyfingers,Baked Goods | Cakes / Dessert | Bread | Japanese sweets | Gluten-free,"Bakery, Cake Industry",,ISO9001 | ISO22000 | HALAL | EU Organic Certification,We have an importer,Bonomi SPA,https://www.fornobonomi.com,Overseas exhibitors | Exportable,Imports Food,E6-Z12,"Ladyfingers (for tiramisù cake), puff pastry glazed and sugar topped, shortbread, puff pastry savoury (cheese, rosemary and pepper, tomato and oregano), Mini-ladyfingers (for tiramisù cake in small cups).",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=54
80,Plant-based Salami and Chorizo (Soy Based),Frozen Fruit & Vegetables | Frozen Ready Meals | Vegetarian | Vegan | Halal | Savoury snacks,"Plant-Based Foods, Vegan & Vegetarian Products, Meat Alternatives, Health & Wellness, Sustainable Foods, Gourmet and Specialty Foods","High-Protein, Low-Fat, 100% Plant-Based and Vegan, Fermented for Rich Flavor, Non-GMO Soy Ingredients, Sustainable and Eco-Friendly Production, Cholesterol-Free and Heart-Healthy, Allergen-Friendly Options Available, Supports a Healthy Lifestyle and Environment, Rich Usage Scenes.",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,We don't have an importer,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Overseas exhibitors | Exportable,Plant Based / Alternative Food,E5-K11,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_80.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=80
87,Namazume Barley Miso 500g,Miso,,"Barley miso is a traditional miso in Kyusyu area in Japan, it has a rich sweetness and aroma compared to mixed miso.",FSSC22000,,"Fundokin Shoyu Co., Ltd.",https://www.fundokin.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN FEDERATION OF MISO MANFRS CO-OPS,Exports from Japan,S2-K33-019,"Soy Sauce, Miso, Dressing",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176224569213.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=87
90,Namazume Mixed Miso Organic 500g,Miso,,This is a non-additive mixed miso with organic rice and organic soybeans as raw materials. | It is authorized by Organic JAS.,Organic JAS Mark | FSSC22000,,"Fundokin Shoyu Co., Ltd.",https://www.fundokin.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN FEDERATION OF MISO MANFRS CO-OPS,Exports from Japan,S2-K33-019,"Soy Sauce, Miso, Dressing",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_90.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=90
105,KAORIBAKO 1KG,Frozen Seafood | Halal | Processed seafood products,"Sales Channels: | Foodservice, ready-made meal providers, trading companies, wholesalers, manufacturers, supermarkets, department stores, other retail outlets | | Target Customers: | Primarily men and women aged 30 to 60. The product appeals to households that enjoy high-quality Japanese cuisine, health-conscious consumers, and a broad range of customers who shop at deli counters and sushi sections.","【This product is developed with halal-friendly recipes in preparation for the Halal market, and we are targeting Halal certification around June 2026. The ingredients and formulation are designed to suit a wide range of global application. 】Kaoribako is a high-end crab-flavored product that replicates the appearance and taste of snow crab (zuwaigani). It is one of Sugiyo’s flagship items and was awarded the prestigious Emperor’s Cup at the 45th Agriculture, Forestry and Fisheries Festival in Japan. | Made with high-quality Alaska pollock surimi, Kaoribako delivers a flavor and texture close to the real thing. As a ready-to-eat product, it requires no heating and is ideal for various professional applications such as sushi toppings, sashimi-style dishes, salads, and soups. | Packaged in a 1kg IQF (Individually Quick Frozen) format, it allows for easy portion control—just thaw the amount needed—making it highly convenient for foodservice operations and contributing to reduced food waste. | Its delicate fiber-like texture and vibrant color enhance the visual appeal and perceived value of dishes, earning high praise as a premium ingredient for professional use.",US-HACCP | FDA,,SUGIYO,https://www.sugiyo.co.jp/en/,Japan exhibitors | Exportable,Processed Food,E6-G64,"<Imitation Crab> | Uminokaori, Dandankaniyanagi, Royal Carib, Kaoribako, Takuminokanikama, Otonanokanikama | <Fried Fish Cake> | Unakamachan, Shiromisakanaage, Kagaage, Chikuwa | <Other> | Yuzu Sasakama, Wasabi Sauce, Tenigirisatsumagushi, Cheese Korokoro, Baked Fish Stick with Three Cheeses, Fish Stick with Salmon, Lobster-like Fish Stick, Tsuyujiman Oden",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176231223465.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=105
127,Plant-based Pulled Pork (Wet extrusion),Frozen Fruit & Vegetables | Vegetarian | Vegan | Halal,"Plant-Based Foods, Vegan & Vegetarian Products, Meat Alternatives, Seafood Alternatives, Health & Wellness, Sustainable Foods, Gourmet and Specialty Foods, Cost Effective Meat Options, Quick-Service Food, Food Service, Catering, Hospitality, Supermarket, Grocery, Fast Food Chain","Low Cost Plant-Based Option, | 100% Vegan, | High-Protein, Clean Label, | Non-GMO Soy Ingredients, | Meat-like Taste and Texture | Suitable for All Ages, | Easy to Cook, | Cholesterol-Free, | Environmentally Friendly",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,We don't have an importer,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Overseas exhibitors | Exportable,Plant Based / Alternative Food,E5-K11,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_127.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=127
128,Plant-based Luncheon Meat (Original/Spicy Flavor),Vegetarian | Vegan | Halal | Savoury snacks | Finger Food | Salty Snacks | Rice Crackers & Healthy Snacks,"Plant-Based Foods, | Vegan & Vegetarian Products, | Meat Alternatives, | Shelf-Stable Foods, | Ready-to-Eat Foods, | Convenience Foods, | Sustainable Foods, | Packaged Foods","100% Vegan, | Shelf-Stable for Convenience, | Individually Wrapped for Freshness, | Non-GMO Ingredients, | High-Protein, Low-Fat, | Meat-Free Alternative, | No Refrigeration Required, | Ready-to-Eat, | Health-Conscious Choice, | Sustainable and Eco-Friendly",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,We don't have an importer,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Overseas exhibitors | Exportable,Plant Based / Alternative Food,E5-K11,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_128.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=128
144,Teraokake Soy Sauce for Eggs,Soy Sauce | Liquid Seasoning,"Supermarket, Restaurant, EC","Special soy sauce goes perfectly with eggs! | This best-selling soy sauce is a perfect blend Koikuchi soy sauce with bonito, kelp, and oyster extract as the secret ingredient. | Mild and moderately sweet taste goes perfectly well with egg dish. | | Besides eggs ... | Perfect for stir-fries, stews, or as a base for hot pots and noodle soup—use it as is or dilute it to your preference. |",FSSC22000,,"Teraoka Yuuki Jyouzou Co., Ltd.",https://www.teraokake.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Exports from Japan,S2-C29-018,"Teraokake Soy Sauce for Eggs(150ml),Teraokake Organic Soy Sauce KURADASHI - KIOKE 3 Years Aged(150ml), Teraokake Soy Sauce for Sushi and Sashimi(150ml), Teraokake Yuzu Ponzu(150ml),Teraokake Less Sodium Soy Sauce(150ml)",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_144.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=144
200,EBI KATSU,Frozen Seafood | Seafood | Processed seafood products,,,EU-HACCP | US-HACCP | HALAL | FDA | ASC(Aquaculture Stewardship Council),,THUAN PHUOC SEAFOODS AND TRADING CORPORATION,http://www.thuanphuoc.vn/,Overseas exhibitors | Exportable,Seafood,S1-E18,"Sushi, Raw Sushi, Hanging meat Sushi, Tempura, Breaded shrimp, Nobashi, CPDTO, CPD, Ebi Katsu",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_200.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=200
