name,country,address,website,hall,stand,product_groups_top,product_groups,product_group_count,brands,trend_subjects,distribution_channels,target_markets,profile,detail_url
1882 srl,Italy,"Via L. B. Alberti 5, 36071 ARZIGNANO (VI)",http://www.olivieri1882.com,03.2,A016,Fine bakery products,Fine bakery products > Panettone,1,Olivieri 1882,Handcrafted products/Artisan Limited edition,,Australia Brazil Canada China India Japan Mexico Middle East Northern Europe Others Eastern Europe Russia South Africa South East Asia Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/1882_srl/
28lots GmbH,Austria,"Mayergasse 3/10, 1020 Wien",http://www.28lots.at,10.2,D098,"Chocolate, chocolate products | Sugar-free confectionary and snacks","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Flaked cracknel chocolate | Chocolate, chocolate products > Capuccino chocolate | Chocolate, chocolate products > Peanut chocolate | Chocolate, chocolate products > Ginger chocolate | Chocolate, chocolate products > Chocolate crisp | Chocolate, chocolate products > Coconut chocolate | Chocolate, chocolate products > Creme chocolate | Chocolate, chocolate products > Cracknel chocolate | Chocolate, chocolate products > Almond chip chocolate | Chocolate, chocolate products > Almond cracknel chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Marzipan chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Mocha chocolate, Mocha-cream chocolate, solid/filled | Chocolate, chocolate products > Nougat (Hazelnut praline) chocolate/Nougat cracknel chocolate | Chocolate, chocolate products > Nut-brittle chocolate, Nut-nougat chocolate | Chocolate, chocolate products > Peppermint chocolate, solid/filled | Chocolate, chocolate products > Small bars of peppermint chocolate, solid/filled | Chocolate, chocolate products > Tablet of filled chocolate squares | Chocolate, chocolate products > Puffed-rice chocolate | Chocolate, chocolate products > Cream chocolate | Chocolate, chocolate products > Cream chocolate / cream cracknel chocolate | Chocolate, chocolate products > Alcohol-filled chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Truffle chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Full-milk cracknel | Chocolate, chocolate products > Full-milk almond chocolate | Chocolate, chocolate products > Full-milk mocha chocolate | Chocolate, chocolate products > Full-milk hazelnut chocolate | Chocolate, chocolate products > Full-milk nut chocolate | Chocolate, chocolate products > Full-milk chocolate with whole almond or nuts | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Flavoured white chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate with whole nuts | Chocolate, chocolate products > Hollow chocolate figures (also filled chocolate figures) | Chocolate, chocolate products > Langues de chat (also filled) | Chocolate, chocolate products > Two nuts in a shell | Chocolate, chocolate products > Easter chocolate products | Chocolate, chocolate products > Chocolate eggs, solid | Chocolate, chocolate products > Chocolate flakes/milk chocolate flakes | Chocolate, chocolate products > Chocolate coins/chocolate squares/chocolate doubloons | Chocolate, chocolate products > Chocolate goods for Christmas | Chocolate, chocolate products > Sugar-free chocolate | Chocolate, chocolate products > Sugar-reduced chocolate | Sugar-free confectionary and snacks > Sugar-free chocolate",50,28lots - Wiener Schokoladenmanufaktur,Fair trade Handcrafted products/Artisan Sugar free Vegan,,China Japan Middle East Northern Europe Western Europe,,https://www.ism-cologne.com/exhibitor/28lots_gmbh/
2VD sprl,Belgium,"Rue de l'Ile Dossai 17, 5300 Andenne",https://www.pinchy.com,04.2,N024,Snack foods,Snack foods > Pretzels/salted cocktail snacks/salted sticks | Snack foods > Cashew nuts | Snack foods > Hazelnuts | Snack foods > Corn snacks | Snack foods > Almonds | Snack foods > Pecan nuts | Snack foods > Pine nuts | Snack foods > Pistachio nuts | Snack foods > Walnut kernels | Snack foods > Onion rings / onion rolls | Snack foods > Sunflower seeds,11,PINCHY,Functional Organic Private label,,Northern Europe Others Eastern Europe Southern Europe Western Europe,,https://www.ism-cologne.com/exhibitor/2vdpinchy/
3T Treats Sp. z o.o.,Poland,"Olszankowa 49, 05-120 Legionowo",http://www.3topole.pl,11.1,D042,"Chocolate, chocolate products | Sugar confectionery","Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Dessert chocolates | Chocolate, chocolate products > Fondant chocolates | Chocolate, chocolate products > Coated jellies | Sugar confectionery > Candies with fructose and/or sweeteners/Diet candies | Sugar confectionery > Vitamin sweets | Sugar confectionery > Sweets made with non-sugar sweeteners | Sugar confectionery > Confections with fructose and/or sweeteners/Diet confections | Sugar confectionery > Fondant products | Sugar confectionery > Sugared jellies | Sugar confectionery > Sweet gums/jelly bears | Sugar confectionery > Gums and jelly confectionery | Sugar confectionery > Marshmallows | Sugar confectionery > Vegan products | Sugar confectionery > Sugar-free products | Sugar confectionery > Sugar-reduced products",16,,Allergy friendly Fair trade Functional Private label Reformulated products Sugar free Vegan,,South Africa,,https://www.ism-cologne.com/exhibitor/3t_treats_sp_z_oo/
"3 SEASONS FRUIT INDUSTRY CO., LTD.",Thailand,"1069,1071,1073, Rama 9 Rd., Suan Luang, 10250 Bangkok",https://3seasons-fruit.com/,10.1,H085,"Chocolate, chocolate products | Raw materials and ingredients | Snack foods | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Sustainable sweets & snacks | Raw materials and ingredients > Bulking materials | Raw materials and ingredients > Fruit purée | Raw materials and ingredients > Fruit powder | Raw materials and ingredients > Fruit puree | Raw materials and ingredients > Fruit Products - others | Raw materials and ingredients > Dried fruits | Snack foods > Sugar-reduced snack foods | Snack foods > Lactose-free snack foods | Snack foods > Gluten-free snack foods | Trend Snacks & Natural Snacks > Vegan trend snacks | Trend Snacks & Natural Snacks > Fruit purée, vegetable purée | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and crisps/crackers | Trend Snacks & Natural Snacks > Chocololate-coated dried fruit (pineapple, apple rings, apricots, dates, figs, plums) | Trend Snacks & Natural Snacks > Smoothies | Trend Snacks & Natural Snacks > Products without additives | Trend Snacks & Natural Snacks > Raw Products",19,3 Seasons Fruit Thai Ao Chi,Allergy friendly Halal Kosher Organic Private label Vegan Vegetarian,,Australia Brazil Canada Japan Middle East New Zealand Northern Europe Others Eastern Europe Russia South East Asia Southern Europe Türkiye USA Western Europe,,https://www.ism-cologne.com/exhibitor/3_seasons_fruit_indu/
4Retail BV,Belgium,"Ringlaan 17, 2960 Brecht",http://www.4retail.biz,04.2,P022,"Chocolate, chocolate products | Fine bakery products | Ice cream, deep-frozen confectionery / raw pastes","Chocolate, chocolate products > Advent calender/Ramadan calendar | Fine bakery products > Bbiscuits assortments/chocolate coated biscuits | Fine bakery products > Cakes | Fine bakery products > Bar-shaped cakes / small cakes | Fine bakery products > Cereal cookies | Fine bakery products > Cereal bars | Fine bakery products > Sugar-reduced-biscuits | Ice cream, deep-frozen confectionery / raw pastes > Fruit ice",8,Bello Bluey Hello Kitty Minions My Favorites Paw Patrol Zagazoe,,,Australia Canada China Japan Middle East New Zealand Northern Europe Others Eastern Europe Russia Southern Europe Türkiye USA Western Europe,,https://www.ism-cologne.com/exhibitor/4retailretail/
Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co. KG,Germany,"Borchersstr. 18 - 20, 52072 Aachen",http://www.lambertz.de,03.2,E011+E019,Fine bakery products | Trend Snacks & Natural Snacks,"Fine bakery products > Pyramid cake | Fine bakery products > Christmas Stollen | Fine bakery products > Dominoes | Fine bakery products > Florentines | Fine bakery products > Bbiscuits assortments/chocolate coated biscuits | Fine bakery products > Stick-shaped biscuits/Shortbread | Fine bakery products > Large shortbread coins (fruits biscuits/almond biscuits/ hazelnut biscuits) | Fine bakery products > Karlsbad thins | Fine bakery products > Kipferl (Vanilla Kipferl) | Fine bakery products > Bar-shaped cakes / small cakes | Fine bakery products > Brown gingerbread | Fine bakery products > Gingerbread hearts | Fine bakery products > Gingerbread hearts on strings | Fine bakery products > Sugar covered gingerbread | Fine bakery products > Gingerbread on wafer base (Elisen gingerbread) | Fine bakery products > Traditional bread / alpine bread | Fine bakery products > Macaroons (hazelnut/coconut/almond/marzipan/persipan- marzipan made from apricot kernels) | Fine bakery products > Marzipan pastries | Fine bakery products > Light shortbread / light shortbread biscuits | Fine bakery products > Cereal cookies | Fine bakery products > Gingerbread shapes / gingerbread balls | Fine bakery products > Gingerbread | Fine bakery products > Russian bread | Fine bakery products > Butter cakes | Fine bakery products > Speculatius biscuits | Fine bakery products > Spiced cakes / spiced biscuits | Fine bakery products > Wafers, filled / without filling / plain wafers coated in chocolate | Fine bakery products > Wafer eggs / wafer nuts | Fine bakery products > Cinnamon stars | Fine bakery products > Wholemeal biscuits | Fine bakery products > Wholemeal butter biscuits | Trend Snacks & Natural Snacks > Chocololate-coated dried fruit (pineapple, apple rings, apricots, dates, figs, plums)",32,Dr. Quendt Haeberlein Metzger Henry Lambertz Kinkartz Lambertz Otten Weiss,Fair trade Organic Vegan,,Brazil Canada China Mexico Middle East Northern Europe Others Eastern Europe South East Asia Southern Europe Türkiye USA Western Europe,"Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co. KG, founded in 1688 One of the largest german cookie manufacturers & world market leader in autumn and Christmas cookies",https://www.ism-cologne.com/exhibitor/aachener_printenlambertz/
Aachener Printenbäckerei Klein e.K.,Germany,"Franzstr. 91, 52064 Aachen",http://www.printen.de,03.2,A022,Fine bakery products,Fine bakery products > Gingerbread,1,Aachener Printen,Handcrafted products/Artisan Vegan Vegetarian,,Western Europe,,https://www.ism-cologne.com/exhibitor/aachener_printenprintenbaeckerei_klei/
Abaribi S.r.l.,Italy,"Via Serpente 81, 25131 BRESCIA (BS)",http://www.abaribi.it,10.1,G085,Fine bakery products,Fine bakery products > Brioches,1,Abaribi,,,Northern Europe Others Eastern Europe Southern Europe Western Europe,,https://www.ism-cologne.com/exhibitor/abaribi_s/
ABICAB,Brazil,"Av. Paulista 1313, 01311-923 Sao Paulo",https://brasilsns.org.br/,11.2,C064a,,,0,,,,,,https://www.ism-cologne.com/exhibitor/abicab/
